num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
12,5,0.647,0.9513,0.2804,0.0233,0.0006,0.0,0.2265
13,5,0.7704,0.7704,0.0,0.0,0.0,0.0,0.0
14,5,0.669,0.9375,0.2489,0.0195,0.0001,0.0,0.2099
15,5,0.7681,0.7681,0.0,0.0,0.0,0.0,0.0
16,5,0.6871,0.9333,0.2313,0.0146,0.0003,0.0,0.1968
17,5,0.7663,0.7663,0.0,0.0,0.0,0.0,0.0
18,5,0.6982,0.9202,0.2092,0.0123,0.0005,0.0,0.1843
19,5,0.7545,0.7545,0.0,0.0,0.0,0.0,0.0
20,5,0.7014,0.9175,0.2051,0.0108,0.0002,0.0,0.1774
21,5,0.7688,0.7688,0.0,0.0,0.0,0.0,0.0
22,5,0.7141,0.9124,0.19,0.008,0.0003,0.0,0.1668
23,5,0.7507,0.7507,0.0,0.0,0.0,0.0,0.0
24,5,0.7239,0.9103,0.1792,0.007,0.0002,0.0,0.1612
25,5,0.765,0.765,0.0,0.0,0.0,0.0,0.0
26,5,0.7225,0.9032,0.174,0.0067,0.0,0.0,0.157
27,5,0.761,0.761,0.0,0.0,0.0,0.0,0.0
28,5,0.7276,0.8935,0.1603,0.0056,0.0,0.0,0.1491
29,5,0.7583,0.7583,0.0,0.0,0.0,0.0,0.0
30,5,0.7401,0.8971,0.1508,0.0061,0.0001,0.0,0.1443
31,5,0.7544,0.7544,0.0,0.0,0.0,0.0,0.0
32,5,0.7404,0.8916,0.1467,0.0043,0.0002,0.0,0.1387
33,5,0.7596,0.7596,0.0,0.0,0.0,0.0,0.0
34,5,0.7437,0.8876,0.1399,0.004,0.0,0.0,0.1342
35,5,0.7632,0.7632,0.0,0.0,0.0,0.0,0.0
36,5,0.7417,0.8856,0.1399,0.0039,0.0001,0.0,0.1336
37,5,0.7561,0.7561,0.0,0.0,0.0,0.0,0.0
38,5,0.7464,0.8786,0.1292,0.003,0.0,0.0,0.1273
39,5,0.7562,0.7562,0.0,0.0,0.0,0.0,0.0
40,5,0.7454,0.8747,0.1264,0.0029,0.0,0.0,0.1234
41,5,0.7544,0.7544,0.0,0.0,0.0,0.0,0.0
42,5,0.7478,0.8756,0.1243,0.0035,0.0,0.0,0.1222
43,5,0.7592,0.7592,0.0,0.0,0.0,0.0,0.0
44,5,0.7507,0.8743,0.1204,0.0032,0.0,0.0,0.1187
45,5,0.7536,0.7536,0.0,0.0,0.0,0.0,0.0
46,5,0.7541,0.873,0.1166,0.0023,0.0,0.0,0.116
47,5,0.7516,0.7516,0.0,0.0,0.0,0.0,0.0
48,5,0.7492,0.8695,0.1182,0.0021,0.0,0.0,0.1144
49,5,0.7534,0.7534,0.0,0.0,0.0,0.0,0.0
50,5,0.7491,0.8642,0.1131,0.002,0.0,0.0,0.1129
51,5,0.7507,0.7507,0.0,0.0,0.0,0.0,0.0
52,5,0.7478,0.864,0.1144,0.0018,0.0,0.0,0.111
53,5,0.7523,0.7523,0.0,0.0,0.0,0.0,0.0
54,5,0.7471,0.8598,0.1103,0.0024,0.0,0.0,0.1083
