num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
15,4,0.9007,1.0,0.0835,0.0158,0.0,0.0
16,4,0.9032,0.9999999999999999,0.0748,0.0065,0.0155,0.0
17,4,0.9379,1.0,0.0621,0.0,0.0,0.0
18,4,0.9181,1.0,0.0738,0.0081,0.0,0.0
19,4,0.925,1.0,0.0697,0.0053,0.0,0.0
20,4,0.9138,0.9999999999999999,0.0665,0.0072,0.0125,0.0
21,4,0.934,1.0,0.0612,0.0048,0.0,0.0
22,4,0.9313,1.0,0.0657,0.003,0.0,0.0
23,4,0.9292,1.0,0.0658,0.005,0.0,0.0
24,4,0.9281,1.0,0.0625,0.0024,0.007,0.0
25,4,0.9351,1.0,0.0587,0.0062,0.0,0.0
26,4,0.9349,1.0,0.0604,0.0047,0.0,0.0
27,4,0.9383,1.0,0.0573,0.0044,0.0,0.0
28,4,0.9334,0.9999999999999999,0.0559,0.0052,0.0055,0.0
29,4,0.9483,1.0,0.0496,0.0021,0.0,0.0
30,4,0.9396,1.0,0.0547,0.0057,0.0,0.0
31,4,0.9445,1.0,0.0527,0.0028,0.0,0.0
32,4,0.9347,1.0,0.0553,0.0056,0.0044,0.0
33,4,0.9473,1.0,0.0492,0.0035,0.0,0.0
34,4,0.9483,1.0,0.05,0.0017,0.0,0.0
35,4,0.9451,1.0,0.0509,0.004,0.0,0.0
36,4,0.9406,1.0,0.0522,0.0016,0.0056,0.0
37,4,0.9511,0.9999999999999999,0.0444,0.0045,0.0,0.0
38,4,0.9475,1.0,0.0495,0.003,0.0,0.0
39,4,0.9484,1.0,0.0484,0.0032,0.0,0.0
40,4,0.947,0.9999999999999999,0.0462,0.0025,0.0043,0.0
41,4,0.9538,1.0,0.044,0.0022,0.0,0.0
42,4,0.9528,0.9999999999999999,0.0438,0.0034,0.0,0.0
43,4,0.9526,1.0,0.0454,0.002,0.0,0.0
44,4,0.9484,1.0,0.0444,0.0027,0.0045,0.0
